"user_id","total_rides","rides_completed","rides_canceled"
"100213","35","35","0"
"100214","50","50","0"
"100216","27","0","27"
"100217","42","42","0"
"100218","35","35","0"
"100219","33","33","0"
"100220","36","36","0"
"100221","33","0","33"
"100223","33","33","0"
"100224","40","40","0"
"100225","42","42","0"
"100226","28","0","28"
"100227","30","0","30"
"100228","37","0","37"
"100229","21","0","21"
"100231","37","37","0"
"100232","22","22","0"
"100234","25","25","0"
"100235","26","0","26"
"100236","30","0","30"
"100237","23","0","23"
"100238","44","44","0"
"100240","22","0","22"
"100241","29","0","29"
"100244","31","0","31"
"100245","30","0","30"
"100246","30","30","0"
"100247","31","31","0"
"100248","27","0","27"
"100249","23","0","23"
"100250","27","0","27"
"100251","30","0","30"
"100252","24","0","24"
"100253","34","34","0"
"100255","33","33","0"
"100256","26","0","26"
"100257","35","35","0"
"100259","27","27","0"
"100260","50","50","0"
"100262","26","0","26"
"100263","25","0","25"
"100264","33","33","0"
"100265","35","0","35"
"100266","29","29","0"
"100267","34","0","34"
"100269","22","0","22"
"100270","29","29","0"
"100272","33","0","33"
"100274","38","0","38"
"100275","24","24","0"
"100276","50","50","0"
"100277","44","44","0"
"100278","35","0","35"
"100279","26","0","26"
"100280","29","29","0"
"100281","24","0","24"
"100282","26","0","26"
"100283","16","0","16"
"100285","26","0","26"
"100287","34","34","0"
"100288","25","0","25"
"100289","28","28","0"
"100291","40","40","0"
"100293","27","27","0"
"100295","36","36","0"
"100296","36","36","0"
"100297","30","0","30"
"100299","38","38","0"
"100301","26","0","26"
"100303","27","0","27"
"100304","21","0","21"
"100305","35","35","0"
"100306","28","28","0"
"100307","41","41","0"
"100309","22","0","22"
"100310","40","40","0"
"100313","25","0","25"
"100314","25","0","25"
"100315","34","34","0"
"100317","34","34","0"
"100318","23","0","23"
"100319","30","0","30"
"100321","31","31","0"
"100322","31","31","0"
"100323","37","37","0"
"100325","53","53","0"
"100326","29","29","0"
"100327","41","41","0"
"100328","32","32","0"
"100330","19","0","19"
"100331","46","46","0"
"100334","39","39","0"
"100336","22","0","22"
"100338","28","0","28"
"100340","32","32","0"
"100341","39","39","0"
"100342","50","50","0"
"100344","27","0","27"
"100345","31","31","0"
"100346","17","0","17"
"100347","31","31","0"
"100349","34","0","34"
"100350","33","33","0"
"100351","24","24","0"
"100356","34","34","0"
"100357","40","40","0"
"100358","35","35","0"
"100359","24","0","24"
"100360","23","0","23"
"100361","34","34","0"
"100362","35","0","35"
"100363","29","29","0"
"100366","51","51","0"
"100367","30","0","30"
"100368","36","36","0"
"100369","29","0","29"
"100370","18","0","18"
"100371","25","0","25"
"100372","41","41","0"
"100373","32","32","0"
"100374","28","0","28"
"100375","38","38","0"
"100376","40","40","0"
"100377","20","0","20"
"100379","33","33","0"
"100380","29","0","29"
"100381","33","33","0"
"100382","31","31","0"
"100383","40","40","0"
"100384","33","33","0"
"100385","26","0","26"
"100386","39","39","0"
"100387","30","30","0"
"100388","38","38","0"
"100390","33","0","33"
"100392","30","30","0"
"100393","28","28","0"
"100394","23","0","23"
"100395","38","38","0"
"100396","22","0","22"
"100397","27","27","0"
"100399","21","0","21"
"100400","32","32","0"
"100402","26","0","26"
"100403","30","30","0"
"100404","23","0","23"
"100405","31","31","0"
"100406","33","33","0"
"100407","31","31","0"
"100408","31","0","31"
"100409","22","0","22"
"100410","35","35","0"
"100411","26","26","0"
"100412","24","0","24"
"100414","31","31","0"
"100415","31","0","31"
"100416","36","36","0"
"100417","13","0","13"
"100418","24","0","24"
"100421","32","32","0"
"100422","22","22","0"
"100424","20","0","20"
"100425","40","40","0"
"100427","32","32","0"
"100429","25","0","25"
"100430","31","0","31"
"100431","22","22","0"
"100432","21","0","21"
"100434","29","0","29"
"100435","27","0","27"
"100436","23","0","23"
"100437","25","0","25"
"100438","35","35","0"
"100439","31","31","0"
"100441","23","0","23"
"100443","31","0","31"
"100444","43","43","0"
"100445","27","0","27"
"100446","18","0","18"
"100448","38","38","0"
"100449","19","0","19"
"100450","33","0","33"
"100452","31","31","0"
"100454","38","38","0"
"100455","36","36","0"
"100457","32","32","0"
"100458","36","36","0"
"100460","26","0","26"
"100461","34","34","0"
"100462","24","0","24"
"100465","30","30","0"
"100466","32","32","0"
"100469","25","0","25"
"100471","32","32","0"
"100472","35","35","0"
"100473","33","33","0"
"100474","32","0","32"
"100477","38","0","38"
"100482","27","0","27"
"100484","22","0","22"
"100486","29","0","29"
"100487","32","32","0"
"100489","42","42","0"
"100490","20","0","20"
"100491","40","40","0"
"100492","33","33","0"
"100495","28","0","28"
"100496","25","0","25"
"100497","29","29","0"
"100498","27","27","0"
"100499","35","35","0"
"100500","26","26","0"
"100501","35","35","0"
"100502","31","31","0"
"100503","23","0","23"
"100505","26","26","0"
"100506","22","0","22"
"100508","28","28","0"
"100509","23","23","0"
"100510","26","0","26"
"100511","35","0","35"
"100512","31","31","0"
"100513","27","0","27"
"100514","48","48","0"
"100515","29","0","29"
"100516","21","0","21"
"100517","27","27","0"
"100518","47","47","0"
"100519","32","0","32"
"100521","14","0","14"
"100522","32","32","0"
"100523","41","0","41"
"100524","41","41","0"
"100525","30","0","30"
"100526","44","44","0"
"100527","25","25","0"
"100528","17","0","17"
"100529","23","0","23"
"100530","34","0","34"
"100531","33","0","33"
"100532","17","0","17"
"100534","35","35","0"
"100537","31","0","31"
"100538","32","32","0"
"100539","41","41","0"
"100540","37","0","37"
"100542","38","38","0"
"100543","33","33","0"
"100544","21","0","21"
"100546","22","0","22"
"100548","26","26","0"
"100549","24","0","24"
"100550","36","36","0"
"100552","40","40","0"
"100554","40","40","0"
"100557","37","37","0"
"100559","35","35","0"
"100560","25","0","25"
"100561","27","0","27"
"100564","31","0","31"
"100565","42","42","0"
"100567","37","37","0"
"100568","35","35","0"
"100569","25","0","25"
"100570","26","0","26"
"100572","27","27","0"
"100573","22","0","22"
"100574","36","36","0"
"100576","37","37","0"
"100577","24","0","24"
"100579","35","0","35"
"100580","31","0","31"
"100581","20","0","20"
"100582","25","0","25"
"100583","27","0","27"
"100585","28","28","0"
"100586","28","0","28"
"100587","47","47","0"
"100589","26","0","26"
"100590","21","0","21"
"100591","38","38","0"
"100592","38","38","0"
"100593","27","0","27"
"100594","35","35","0"
"100595","26","0","26"
"100596","27","27","0"
"100597","24","0","24"
"100601","29","29","0"
"100602","24","0","24"
"100605","27","0","27"
"100607","30","30","0"
"100608","27","0","27"
"100609","31","0","31"
"100611","25","0","25"
"100612","27","0","27"
"100613","25","25","0"
"100614","37","37","0"
"100617","23","0","23"
"100618","31","31","0"
"100619","25","0","25"
"100621","25","0","25"
"100622","28","0","28"
"100623","31","0","31"
"100624","21","0","21"
"100626","38","38","0"
"100627","42","42","0"
"100628","35","35","0"
"100630","26","0","26"
"100631","19","0","19"
"100634","41","41","0"
"100636","39","39","0"
"100637","15","0","15"
"100638","17","0","17"
"100640","24","0","24"
"100641","42","42","0"
"100642","34","0","34"
"100644","34","0","34"
"100645","40","40","0"
"100646","27","0","27"
"100647","31","0","31"
"100648","39","39","0"
"100650","27","0","27"
"100651","29","0","29"
"100652","39","39","0"
"100654","46","46","0"
"100655","45","45","0"
"100656","35","0","35"
"100657","38","0","38"
"100658","32","0","32"
"100660","33","33","0"
"100661","38","38","0"
"100662","26","26","0"
"100664","38","38","0"
"100665","37","37","0"
"100666","28","0","28"
"100668","27","27","0"
"100670","40","40","0"
"100672","19","0","19"
"100673","37","37","0"
"100674","33","33","0"
"100675","43","43","0"
"100676","22","0","22"
"100677","41","41","0"
"100678","23","0","23"
"100679","34","0","34"
"100680","28","0","28"
"100681","36","36","0"
"100682","38","0","38"
"100683","25","0","25"
"100684","29","29","0"
"100685","32","32","0"
"100687","25","25","0"
"100688","27","27","0"
"100689","37","37","0"
"100690","22","0","22"
"100692","40","40","0"
"100694","33","33","0"
"100695","33","33","0"
"100696","40","40","0"
"100697","32","0","32"
"100698","30","0","30"
"100699","42","42","0"
"100700","26","0","26"
"100701","28","28","0"
"100703","27","0","27"
"100706","26","0","26"
"100707","43","43","0"
"100709","41","41","0"
"100710","43","43","0"
"100711","38","38","0"
"100713","34","34","0"
"100714","41","41","0"
"100717","38","38","0"
"100718","30","0","30"
"100722","32","32","0"
"100723","16","0","16"
"100725","41","41","0"
"100727","31","0","31"
"100728","37","37","0"
"100729","27","27","0"
"100730","20","0","20"
"100732","28","0","28"
"100733","42","0","42"
"100734","28","0","28"
"100735","34","34","0"
"100736","27","0","27"
"100737","36","36","0"
"100739","35","35","0"
"100740","24","0","24"
"100741","34","34","0"
"100742","28","0","28"
"100743","36","36","0"
"100745","32","32","0"
"100746","24","0","24"
"100747","45","45","0"
"100748","41","41","0"
"100749","46","46","0"
"100750","24","0","24"
"100751","22","0","22"
"100752","40","40","0"
"100753","42","42","0"
"100755","43","43","0"
"100756","24","0","24"
"100757","28","0","28"
"100758","34","34","0"
"100760","20","0","20"
"100761","20","0","20"
"100764","28","28","0"
"100765","38","38","0"
"100767","26","0","26"
"100771","31","31","0"
"100773","32","32","0"
"100776","36","36","0"
"100778","20","0","20"
"100779","27","0","27"
"100780","43","43","0"
"100783","33","0","33"
"100784","20","0","20"
"100787","26","26","0"
"100789","36","36","0"
"100791","32","0","32"
"100792","39","39","0"
"100794","39","39","0"
"100795","21","0","21"
"100796","34","34","0"
"100798","48","48","0"
"100799","35","0","35"
"100800","33","33","0"
"100801","20","0","20"
"100802","24","24","0"
"100804","22","0","22"
"100805","25","0","25"
"100806","27","0","27"
"100807","21","0","21"
"100808","45","45","0"
"100809","26","0","26"
"100810","43","43","0"
"100811","37","37","0"
"100812","47","47","0"
"100813","25","0","25"
"100814","35","35","0"
"100815","29","29","0"
"100816","37","37","0"
"100817","23","0","23"
"100818","30","0","30"
"100819","23","0","23"
"100820","35","0","35"
"100822","25","0","25"
"100823","38","38","0"
"100824","39","39","0"
"100826","29","0","29"
"100834","32","32","0"
"100835","27","27","0"
"100837","27","0","27"
"100838","42","42","0"
"100839","43","43","0"
"100840","30","30","0"
"100842","38","38","0"
"100843","29","0","29"
"100845","33","0","33"
"100846","34","0","34"
"100847","19","0","19"
"100848","31","0","31"
"100849","20","0","20"
"100850","21","0","21"
"100851","26","0","26"
"100852","34","0","34"
"100853","28","0","28"
"100854","42","42","0"
"100855","31","31","0"
"100856","30","0","30"
"100859","31","0","31"
"100860","43","43","0"
"100863","36","36","0"
"100865","24","24","0"
"100866","16","0","16"
"100867","36","36","0"
"100870","29","0","29"
"100871","23","0","23"
"100873","43","43","0"
"100875","40","40","0"
"100876","30","0","30"
"100877","40","40","0"
"100878","24","0","24"
"100879","31","31","0"
"100880","26","0","26"
"100881","35","35","0"
"100882","35","0","35"
"100884","41","41","0"
"100886","38","38","0"
"100889","31","31","0"
"100890","25","0","25"
"100891","44","44","0"
"100892","34","34","0"
"100893","23","0","23"
"100894","42","42","0"
"100895","39","39","0"
"100896","41","41","0"
"100897","27","0","27"
"100899","34","34","0"
"100900","37","0","37"
"100901","33","33","0"
"100903","37","37","0"
"100904","29","29","0"
"100905","29","0","29"
"100906","18","0","18"
"100907","27","0","27"
"100908","27","0","27"
"100909","41","41","0"
"100910","41","41","0"
"100911","32","0","32"
"100912","28","28","0"
"100913","23","0","23"
"100916","24","0","24"
"100917","25","0","25"
"100919","25","0","25"
"100925","22","0","22"
"100926","39","39","0"
"100927","36","36","0"
"100928","38","0","38"
"100929","28","0","28"
"100931","32","32","0"
"100932","27","0","27"
"100934","26","0","26"
"100935","30","0","30"
"100936","46","46","0"
"100937","24","0","24"
"100938","33","0","33"
"100939","32","32","0"
"100940","35","35","0"
"100941","37","37","0"
"100942","31","31","0"
"100943","35","0","35"
"100944","22","0","22"
"100945","18","0","18"
"100946","32","0","32"
"100947","30","30","0"
"100948","25","0","25"
"100950","24","0","24"
"100951","35","35","0"
"100953","35","35","0"
"100954","35","35","0"
"100956","37","37","0"
"100957","34","0","34"
"100959","29","0","29"
"100960","32","32","0"
"100961","36","36","0"
"100962","35","35","0"
"100963","25","0","25"
"100964","28","28","0"
"100966","23","0","23"
"100967","38","38","0"
"100968","26","26","0"
"100969","29","0","29"
"100970","28","0","28"
"100972","28","0","28"
"100973","30","30","0"
"100975","29","0","29"
"100976","36","0","36"
"100977","39","39","0"
"100978","44","44","0"
"100979","35","35","0"
"100981","29","0","29"
"100983","35","35","0"
"100984","27","0","27"
"100985","46","46","0"
"100987","26","0","26"
"100989","23","0","23"
"100991","29","29","0"
"100992","28","0","28"
"100993","34","0","34"
"100995","40","40","0"
"100996","35","35","0"
"100997","35","35","0"
"100998","31","31","0"
"101002","40","40","0"
"101003","28","28","0"
"101004","34","34","0"
"101005","26","26","0"
"101006","28","0","28"
"101007","38","38","0"
"101008","33","33","0"
"101009","40","40","0"
"101010","40","40","0"
"101011","39","39","0"
"101013","31","31","0"
"101014","30","0","30"
"101015","18","0","18"
"101016","36","36","0"
"101017","29","29","0"
"101018","30","0","30"
"101019","34","0","34"
"101020","29","29","0"
"101021","28","28","0"
"101023","17","0","17"
"101024","16","0","16"
"101027","34","34","0"
"101029","38","38","0"
"101031","31","0","31"
"101032","30","0","30"
"101033","31","0","31"
"101034","27","0","27"
"101035","41","41","0"
"101036","42","42","0"
"101037","35","0","35"
"101038","28","0","28"
"101039","31","31","0"
"101045","38","38","0"
"101048","26","0","26"
"101049","26","0","26"
"101050","29","29","0"
"101051","37","37","0"
"101052","31","31","0"
"101053","32","0","32"
"101054","27","0","27"
"101055","42","42","0"
"101056","24","0","24"
"101058","25","25","0"
"101059","37","37","0"
"101061","27","0","27"
"101062","34","34","0"
"101064","28","0","28"
"101066","34","34","0"
"101067","20","0","20"
"101068","43","43","0"
"101071","39","39","0"
"101072","38","0","38"
"101073","27","27","0"
"101074","22","0","22"
"101075","34","34","0"
"101078","31","31","0"
"101079","30","0","30"
"101081","34","34","0"
"101082","34","34","0"
"101083","24","0","24"
"101085","43","43","0"
"101087","25","0","25"
"101091","27","27","0"
"101092","29","0","29"
"101093","42","42","0"
"101096","40","40","0"
"101097","22","0","22"
"101098","43","43","0"
"101099","22","0","22"
"101100","18","0","18"
"101103","33","0","33"
"101104","40","40","0"
"101106","36","36","0"
"101107","19","0","19"
"101108","24","0","24"
"101109","28","28","0"
"101110","22","0","22"
"101111","27","0","27"
"101112","29","0","29"
"101113","35","35","0"
"101114","26","0","26"
"101115","28","0","28"
"101116","17","0","17"
"101117","17","0","17"
"101118","28","0","28"
"101119","29","0","29"
"101120","36","36","0"
"101121","28","0","28"
"101122","37","37","0"
"101124","35","35","0"
"101127","32","0","32"
"101128","25","0","25"
"101129","40","40","0"
"101131","30","30","0"
"101132","33","33","0"
"101134","23","0","23"
"101135","28","0","28"
"101136","22","0","22"
"101137","24","0","24"
"101138","20","0","20"
"101140","43","43","0"
"101141","17","0","17"
"101142","34","34","0"
"101144","21","0","21"
"101146","26","0","26"
"101147","32","32","0"
"101148","31","0","31"
"101150","40","40","0"
"101151","29","0","29"
"101152","33","33","0"
"101153","51","51","0"
"101154","37","37","0"
"101155","42","42","0"
"101156","32","0","32"
"101159","29","29","0"
"101161","30","0","30"
"101163","38","38","0"
"101165","28","0","28"
"101166","22","0","22"
"101167","18","0","18"
"101170","29","29","0"
"101171","42","42","0"
"101172","32","32","0"
"101175","32","32","0"
"101177","32","32","0"
"101178","42","42","0"
"101179","37","37","0"
"101180","23","0","23"
"101181","42","42","0"
"101182","33","0","33"
"101184","34","34","0"
"101186","40","40","0"
"101188","34","34","0"
"101189","28","0","28"
"101190","26","0","26"
"101191","35","35","0"
"101192","24","0","24"
"101194","26","0","26"
"101195","21","0","21"
"101196","37","37","0"
"101198","25","0","25"
"101199","35","35","0"
"101200","18","0","18"
"101201","25","0","25"
"101202","28","28","0"
"101203","41","41","0"
"101204","31","31","0"
"101205","33","0","33"
"101206","38","38","0"
"101208","31","0","31"
"101209","18","0","18"
"101210","25","0","25"
"101211","31","31","0"
"101212","35","35","0"
"101214","34","0","34"
"101215","25","0","25"
"101216","31","31","0"
"101217","23","0","23"
"101220","27","0","27"
"101221","28","0","28"
"101222","31","31","0"
"101223","33","33","0"
"101224","32","0","32"
"101225","33","0","33"
"101228","19","0","19"
"101237","40","40","0"
"101240","40","0","40"
"101242","35","35","0"
"101245","38","38","0"
"101246","31","31","0"
"101247","40","40","0"
"101248","44","44","0"
"101249","30","30","0"
"101251","26","26","0"
"101253","29","0","29"
"101254","30","30","0"
"101255","22","0","22"
"101256","24","0","24"
"101257","38","38","0"
"101258","34","34","0"
"101260","30","0","30"
"101261","24","0","24"
"101262","23","0","23"
"101265","42","42","0"
"101266","29","0","29"
"101267","26","0","26"
"101269","17","0","17"
"101272","35","0","35"
"101273","25","0","25"
"101274","17","0","17"
"101275","33","0","33"
"101276","34","34","0"
"101279","37","37","0"
"101280","26","26","0"
"101282","30","30","0"
"101284","29","29","0"
"101285","25","0","25"
"101286","24","0","24"
"101288","24","0","24"
"101290","31","31","0"
"101293","39","39","0"
"101294","36","36","0"
"101296","32","32","0"
"101297","37","37","0"
"101298","33","33","0"
"101299","35","35","0"
"101301","26","26","0"
"101302","30","30","0"
"101303","34","34","0"
"101304","32","0","32"
"101305","33","33","0"
"101307","36","36","0"
"101308","28","28","0"
"101309","20","0","20"
"101310","29","29","0"
"101312","31","0","31"
"101314","44","44","0"
"101315","27","0","27"
"101316","20","0","20"
"101317","33","33","0"
"101318","39","39","0"
"101319","27","0","27"
"101320","28","28","0"
"101321","20","0","20"
"101323","37","37","0"
"101324","26","0","26"
"101326","28","0","28"
"101328","25","0","25"
"101329","23","0","23"
"101331","25","0","25"
"101333","19","0","19"
"101335","29","0","29"
"101336","36","0","36"
"101338","13","0","13"
"101339","31","0","31"
"101340","30","0","30"
"101341","32","0","32"
"101342","29","0","29"
"101343","40","40","0"
"101344","28","0","28"
"101345","46","46","0"
"101347","26","0","26"
"101348","29","0","29"
"101349","37","37","0"
"101350","28","0","28"
"101351","43","43","0"
"101352","33","33","0"
"101356","34","34","0"
"101359","23","23","0"
"101363","38","38","0"
"101364","37","37","0"
"101365","44","44","0"
"101366","24","0","24"
"101367","23","0","23"
"101368","30","30","0"
"101369","39","39","0"
"101370","35","35","0"
"101374","38","38","0"
"101376","24","0","24"
"101377","18","0","18"
"101378","24","0","24"
"101379","28","0","28"
"101380","32","32","0"
"101381","38","38","0"
"101384","30","30","0"
"101385","32","0","32"
"101386","31","0","31"
"101387","33","33","0"
"101389","30","0","30"
"101390","31","0","31"
"101394","32","0","32"
"101395","41","41","0"
"101396","14","0","14"
"101398","20","0","20"
"101400","28","0","28"
"101403","25","0","25"
"101404","33","33","0"
"101406","36","36","0"
"101407","31","31","0"
"101408","29","0","29"
"101409","28","0","28"
"101410","46","46","0"
"101411","32","0","32"
"101412","22","0","22"
"101413","33","0","33"
"101415","38","38","0"
"101417","32","0","32"
"101420","18","0","18"
"101421","37","37","0"
"101423","24","0","24"
"101424","30","30","0"
"101427","29","0","29"
"101430","25","0","25"
"101431","26","26","0"
"101433","28","0","28"
"101434","25","0","25"
"101436","26","26","0"
"101437","27","27","0"
"101438","33","33","0"
"101439","26","0","26"
"101441","21","0","21"
"101443","37","37","0"
"101446","23","0","23"
"101447","24","0","24"
"101448","23","0","23"
"101449","35","35","0"
"101450","19","0","19"
"101453","28","0","28"
"101454","29","0","29"
"101455","34","34","0"
"101456","32","32","0"
"101458","21","0","21"
"101459","30","0","30"
"101460","28","28","0"
"101461","23","0","23"
"101462","36","36","0"
"101463","16","0","16"
"101467","22","0","22"
"101468","30","0","30"
"101469","34","34","0"
"101474","27","0","27"
"101475","18","0","18"
"101476","36","36","0"
"101477","36","36","0"
"101478","31","0","31"
"101479","30","30","0"
"101480","21","0","21"
"101481","28","0","28"
"101482","25","0","25"
"101484","22","0","22"
"101485","18","0","18"
"101486","32","0","32"
"101487","33","33","0"
"101489","20","0","20"
"101490","31","31","0"
"101491","33","0","33"
"101492","28","0","28"
"101493","33","0","33"
"101495","23","0","23"
"101496","33","33","0"
"101497","34","34","0"
"101498","24","0","24"
"101499","32","32","0"
"101500","33","0","33"
"101503","29","0","29"
"101504","46","46","0"
"101505","31","31","0"
"101506","34","34","0"
"101507","28","28","0"
"101508","26","0","26"
"101509","25","0","25"
"101513","37","37","0"
"101514","38","38","0"
"101516","36","36","0"
"101517","36","0","36"
"101518","30","0","30"
"101519","32","0","32"
"101521","35","35","0"
"101522","40","40","0"
"101523","26","0","26"
"101525","26","0","26"
"101526","30","0","30"
"101529","41","41","0"
"101530","34","34","0"
"101531","17","0","17"
"101532","28","0","28"
"101533","37","37","0"
"101534","16","0","16"
"101535","26","0","26"
"101536","33","33","0"
"101537","33","33","0"
"101538","25","0","25"
"101540","32","0","32"
"101542","34","34","0"
"101545","35","35","0"
"101546","41","41","0"
"101547","20","0","20"
"101548","26","0","26"
"101549","32","32","0"
"101551","24","0","24"
"101552","36","36","0"
"101553","21","0","21"
"101554","38","38","0"
"101556","43","43","0"
"101557","22","0","22"
"101558","26","26","0"
"101559","32","32","0"
"101560","22","0","22"
"101561","23","0","23"
"101564","27","0","27"
"101566","40","40","0"
"101567","24","0","24"
"101568","23","0","23"
"101570","33","0","33"
"101571","28","28","0"
"101573","34","34","0"
"101574","42","42","0"
"101576","32","32","0"
"101578","27","0","27"
"101579","29","0","29"
"101580","29","0","29"
"101585","37","37","0"
"101586","29","29","0"
"101588","21","0","21"
"101589","33","0","33"
"101590","38","38","0"
"101591","18","0","18"
"101592","17","0","17"
"101593","39","39","0"
"101595","27","0","27"
"101596","37","37","0"
"101597","27","0","27"
"101599","21","0","21"
"101600","38","0","38"
"101602","25","0","25"
"101604","19","0","19"
"101605","24","0","24"
"101607","17","0","17"
"101609","39","39","0"
"101610","27","27","0"
"101612","24","0","24"
"101613","43","43","0"
"101614","26","0","26"
"101616","29","29","0"
"101617","38","38","0"
"101618","39","39","0"
"101619","46","46","0"
"101624","33","0","33"
"101625","29","0","29"
"101626","21","0","21"
"101627","28","0","28"
"101631","30","30","0"
"101632","49","49","0"
"101633","34","0","34"
"101634","20","0","20"
"101635","41","41","0"
"101636","33","33","0"
"101637","27","0","27"
"101640","36","36","0"
"101641","35","35","0"
"101642","25","0","25"
"101643","28","0","28"
"101644","29","29","0"
"101645","26","0","26"
"101647","49","49","0"
"101648","45","45","0"
"101649","26","0","26"
"101650","21","0","21"
"101651","46","46","0"
"101652","25","0","25"
"101654","25","0","25"
"101658","25","0","25"
"101659","40","40","0"
"101660","39","39","0"
"101661","37","37","0"
"101662","18","0","18"
"101663","24","0","24"
"101664","37","37","0"
"101665","25","0","25"
"101666","47","47","0"
"101667","30","0","30"
"101668","32","0","32"
"101671","26","0","26"
"101673","21","0","21"
"101675","31","31","0"
"101676","31","0","31"
"101678","39","39","0"
"101679","23","0","23"
"101680","46","46","0"
"101681","40","40","0"
"101682","30","0","30"
"101684","31","31","0"
"101685","38","38","0"
"101686","46","46","0"
"101687","16","0","16"
"101688","19","0","19"
"101689","41","41","0"
"101691","27","0","27"
"101693","33","33","0"
"101694","27","0","27"
"101695","24","24","0"
"101696","30","0","30"
"101697","38","38","0"
"101698","46","46","0"
"101700","29","0","29"
"101702","30","0","30"
"101703","27","0","27"
"101704","30","0","30"
"101705","32","32","0"
"101707","28","28","0"
"101710","24","0","24"
"101713","29","0","29"
"101714","33","33","0"
"101715","23","0","23"
"101716","24","24","0"
"101717","37","37","0"
"101719","22","22","0"
"101722","33","33","0"
"101723","39","0","39"
"101724","44","44","0"
"101726","31","0","31"
"101728","40","40","0"
"101729","29","0","29"
"101731","28","0","28"
"101732","17","0","17"
"101734","23","0","23"
"101735","26","0","26"
"101736","38","38","0"
"101737","37","37","0"
"101738","34","34","0"
"101739","24","0","24"
"101740","33","33","0"
"101742","37","37","0"
"101743","25","0","25"
"101745","26","0","26"
"101746","23","0","23"
"101747","19","0","19"
"101750","30","30","0"
"101751","38","38","0"
"101752","21","0","21"
"101753","39","39","0"
"101754","38","38","0"
"101756","33","0","33"
"101757","36","36","0"
"101759","42","42","0"
"101760","35","35","0"
"101761","27","0","27"
"101762","31","0","31"
"101763","21","0","21"
"101764","29","0","29"
"101766","41","41","0"
"101767","24","0","24"
"101768","44","44","0"
"101769","30","0","30"
"101771","51","51","0"
"101773","31","31","0"
"101776","27","27","0"
