"driver_id","total_rides","total_users","rides_completed","rides_canceled","reviews","avg_ratings"
"105697","7","7","7","0","6","4.38"
"106697","8","8","8","0","6","4.38"
"107233","9","9","9","0","5","4.38"
"107635","7","7","7","0","5","4.38"
"108120","13","13","11","2","5","4.38"
"109018","21","21","16","5","9","4.38"
"109445","14","14","13","1","6","4.38"
"110113","8","8","7","1","5","4.38"
"110174","12","12","11","1","5","4.38"
"110395","13","13","12","1","5","4.38"
"110475","18","18","18","0","13","4.38"
"110501","8","8","8","0","5","4.38"
"110815","9","9","8","1","5","4.38"
"110835","12","12","9","3","5","4.38"
"112693","15","15","13","2","11","4.38"
"114218","8","8","7","1","5","4.38"
"115106","20","20","19","1","13","4.38"
"116127","7","7","6","1","5","4.38"
"116414","11","11","10","1","5","4.38"
"100433","8","8","8","0","8","4.37"
"108420","12","12","11","1","8","4.37"
"101835","12","12","11","1","9","4.36"
"103643","19","19","17","2","10","4.36"
"104045","14","14","13","1","11","4.36"
"104202","10","10","10","0","8","4.36"
"106397","14","14","13","1","8","4.36"
"108661","16","16","15","1","9","4.36"
"110478","17","17","15","2","10","4.36"
"112600","14","14","14","0","10","4.36"
"114420","17","17","14","3","11","4.36"
"116143","13","13","12","1","8","4.36"
"103427","15","15","14","1","10","4.35"
"107428","19","19","17","2","11","4.35"
"115839","16","16","15","1","10","4.35"
"112569","15","15","14","1","11","4.34"
"113073","9","9","7","2","4","4.34"
"100158","14","14","13","1","8","4.33"
"100329","7","7","6","1","5","4.33"
"100506","11","11","10","1","4","4.33"
"100873","10","10","8","2","4","4.33"
"101231","10","10","10","0","4","4.33"
"101490","6","6","5","1","3","4.33"
"101604","7","7","7","0","3","4.33"
"101936","12","12","10","2","6","4.33"
"101956","19","19","15","4","6","4.33"
"102076","14","14","11","3","5","4.33"
"102650","13","13","10","3","5","4.33"
"103327","17","17","15","2","9","4.33"
"103933","12","12","10","2","6","4.33"
"103979","10","10","10","0","4","4.33"
"104023","12","12","7","5","6","4.33"
"104332","11","11","10","1","6","4.33"
"104942","10","10","10","0","4","4.33"
"105341","9","9","8","1","3","4.33"
"105622","10","10","8","2","4","4.33"
"106088","14","14","14","0","11","4.33"
"106123","11","11","8","3","6","4.33"
"106260","6","6","5","1","4","4.33"
"106295","11","10","11","0","6","4.33"
"106906","6","6","6","0","3","4.33"
"106927","10","10","10","0","4","4.33"
"107128","8","8","6","2","4","4.33"
"107434","13","13","10","3","3","4.33"
"107606","16","16","13","3","11","4.33"
"107889","14","14","13","1","8","4.33"
"108134","14","14","13","1","7","4.33"
"108155","9","9","7","2","7","4.33"
"108834","17","17","16","1","8","4.33"
"108890","11","10","7","4","4","4.33"
"109033","5","5","4","1","3","4.33"
"109359","11","11","10","1","8","4.33"
"110166","12","12","11","1","6","4.33"
"110276","13","13","13","0","9","4.33"
"111134","8","8","7","1","3","4.33"
"111527","10","10","8","2","3","4.33"
"111550","8","8","8","0","6","4.33"
"111640","8","8","8","0","4","4.33"
"112033","7","7","6","1","4","4.33"
"112077","8","8","7","1","3","4.33"
"112099","19","19","15","4","7","4.33"
"112308","10","10","8","2","4","4.33"
"112556","8","8","7","1","5","4.33"
"113341","8","8","8","0","5","4.33"
"113382","10","10","9","1","3","4.33"
"113658","15","15","14","1","9","4.33"
"113940","11","11","10","1","5","4.33"
"114159","12","12","11","1","9","4.33"
"114362","7","7","6","1","3","4.33"
"114580","11","11","10","1","5","4.33"
"114941","8","8","8","0","5","4.33"
"115530","9","9","8","1","5","4.33"
"115748","14","14","12","2","7","4.33"
"115809","9","9","8","1","7","4.33"
"116211","9","9","7","2","3","4.33"
"116216","12","12","12","0","10","4.33"
"117035","8","8","6","2","4","4.33"
"104669","14","14","11","3","9","4.31"
"104958","16","16","14","2","10","4.31"
"107620","16","16","13","3","11","4.31"
"109734","14","14","12","2","7","4.31"
"111736","12","12","12","0","9","4.31"
"113337","14","14","14","0","13","4.31"
"115721","14","14","12","2","7","4.31"
"116780","24","24","20","4","12","4.31"
"100576","14","14","13","1","6","4.30"
"102519","12","12","11","1","8","4.30"
"102720","13","13","13","0","8","4.30"
"104085","11","11","11","0","7","4.30"
"104895","21","21","20","1","14","4.30"
"105510","17","17","15","2","11","4.30"
"105760","9","9","9","0","6","4.30"
"105850","22","22","18","4","13","4.30"
"106257","14","14","12","2","8","4.30"
"106391","10","10","10","0","7","4.30"
"107373","12","12","11","1","7","4.30"
"107690","15","15","11","4","8","4.30"
"108846","9","9","9","0","7","4.30"
"109321","16","16","15","1","6","4.30"
"109520","13","13","11","2","6","4.30"
"109703","11","11","9","2","8","4.30"
"109996","13","13","12","1","8","4.30"
"110736","11","11","11","0","7","4.30"
"110992","12","12","10","2","6","4.30"
"112292","15","14","15","0","10","4.30"
"112921","12","12","12","0","8","4.30"
"113714","16","16","13","3","7","4.30"
"115499","17","17","15","2","10","4.30"
"115672","15","15","11","4","6","4.30"
"116600","13","13","9","4","6","4.30"
"117209","13","13","11","2","6","4.30"
"117279","14","14","12","2","6","4.30"
"117392","11","11","9","2","6","4.30"
"102522","13","13","10","3","7","4.29"
"104497","14","14","14","0","11","4.29"
"104824","13","13","12","1","10","4.29"
"107630","15","15","13","2","12","4.29"
"107814","11","11","10","1","7","4.29"
"108149","14","14","11","3","9","4.29"
"108624","15","15","13","2","10","4.29"
"109273","17","17","17","0","11","4.29"
"109481","18","18","16","2","11","4.29"
"110508","16","16","14","2","10","4.29"
"111469","11","11","11","0","7","4.29"
"112256","14","14","14","0","7","4.29"
"114024","17","17","16","1","11","4.29"
"114291","14","14","12","2","8","4.29"
"102318","18","18","16","2","13","4.28"
"102554","19","19","16","3","12","4.28"
"104213","15","15","14","1","8","4.28"
"108407","13","13","11","2","6","4.28"
"111364","16","16","14","2","10","4.28"
"114614","11","11","11","0","8","4.28"
"115972","15","15","14","1","10","4.28"
"117324","21","21","19","2","15","4.28"
"100356","14","14","12","2","7","4.27"
"102128","9","9","9","0","7","4.27"
"104001","15","15","15","0","11","4.27"
"104271","16","16","13","3","9","4.27"
"104997","16","16","13","3","8","4.27"
"107694","18","18","17","1","10","4.27"
"108213","16","16","14","2","11","4.27"
"110646","10","10","10","0","7","4.27"
"112267","17","17","16","1","11","4.26"
"116393","20","20","19","1","15","4.26"
"117168","17","17","17","0","12","4.26"
"100440","13","13","13","0","7","4.25"
"101135","11","11","9","2","6","4.25"
"101494","18","18","18","0","9","4.25"
"101511","10","10","8","2","5","4.25"
"101524","10","10","8","2","5","4.25"
"101620","12","12","12","0","8","4.25"
"101749","15","15","12","3","4","4.25"
"101886","12","12","9","3","8","4.25"
"102466","11","11","9","2","4","4.25"
"102662","12","12","12","0","8","4.25"
"103003","10","10","9","1","4","4.25"
"103307","13","13","12","1","10","4.25"
"104060","8","8","7","1","4","4.25"
"104112","4","4","4","0","3","4.25"
"104142","8","8","7","1","4","4.25"
"104517","17","17","14","3","9","4.25"
"105038","14","14","13","1","9","4.25"
"105308","5","5","5","0","3","4.25"
"105363","9","9","9","0","4","4.25"
"105986","11","11","8","3","6","4.25"
"106202","19","19","18","1","12","4.25"
"106247","11","11","10","1","8","4.25"
"106282","10","10","10","0","6","4.25"
"106622","11","11","10","1","6","4.25"
"107462","19","19","16","3","10","4.25"
"107558","16","16","13","3","8","4.25"
"107668","14","14","12","2","5","4.25"
"108257","11","11","9","2","6","4.25"
"108259","16","16","13","3","8","4.25"
"108523","9","9","9","0","6","4.25"
"108533","10","10","10","0","6","4.25"
"108744","11","11","11","0","10","4.25"
"108827","10","10","9","1","5","4.25"
"109108","9","9","8","1","6","4.25"
"109287","14","14","9","5","4","4.25"
"109360","10","10","9","1","7","4.25"
"109486","19","19","17","2","9","4.25"
"109559","10","10","9","1","6","4.25"
"109743","20","20","17","3","10","4.25"
"110050","11","11","10","1","6","4.25"
"110720","13","13","8","5","5","4.25"
"110824","10","10","9","1","7","4.25"
"111069","9","9","7","2","4","4.25"
"111257","13","13","12","1","9","4.25"
"111375","14","14","13","1","8","4.25"
"111538","19","19","16","3","9","4.25"
"112376","10","10","9","1","4","4.25"
"112442","10","10","9","1","7","4.25"
"112546","14","14","10","4","7","4.25"
"113137","15","15","13","2","7","4.25"
"113349","11","11","11","0","6","4.25"
"114493","14","14","12","2","9","4.25"
"114644","9","9","7","2","5","4.25"
"114800","8","8","7","1","4","4.25"
"114897","10","10","9","1","4","4.25"
"115147","7","7","7","0","5","4.25"
"115265","9","9","8","1","4","4.25"
"115967","12","12","10","2","5","4.25"
"116132","12","12","12","0","8","4.25"
"116183","11","11","8","3","5","4.25"
"116488","9","9","8","1","5","4.25"
"116578","16","16","13","3","9","4.25"
"116599","10","10","10","0","5","4.25"
"116663","11","11","10","1","7","4.25"
"116682","12","12","11","1","8","4.25"
"116769","12","12","11","1","6","4.25"
"116809","8","8","7","1","4","4.25"
"116964","14","14","11","3","9","4.25"
"116977","6","6","5","1","3","4.25"
"102010","15","15","15","0","11","4.24"
"113844","15","15","13","2","11","4.24"
"101073","12","12","11","1","9","4.23"
"103273","18","18","18","0","13","4.23"
"104010","19","19","18","1","11","4.23"
"104149","16","16","14","2","10","4.23"
"105748","19","19","18","1","11","4.23"
"108508","15","15","14","1","8","4.23"
"112333","17","17","15","2","9","4.23"
"101114","17","17","16","1","11","4.22"
"102066","9","9","8","1","5","4.22"
"102641","14","14","13","1","9","4.22"
"105547","8","8","7","1","5","4.22"
"105846","5","5","5","0","5","4.22"
"106985","12","12","10","2","5","4.22"
"107420","20","20","16","4","13","4.22"
"108315","11","11","11","0","5","4.22"
"109497","17","17","17","0","14","4.22"
"110923","13","13","10","3","5","4.22"
"112408","13","13","10","3","5","4.22"
"115363","18","18","18","0","12","4.22"
"101289","18","18","18","0","10","4.21"
"102565","13","13","12","1","8","4.21"
"102572","15","15","13","2","10","4.21"
"104900","12","12","11","1","9","4.21"
"105672","19","19","18","1","14","4.21"
"105826","11","11","10","1","8","4.21"
"107910","15","15","14","1","10","4.21"
"108097","14","14","12","2","11","4.21"
"108670","17","17","15","2","11","4.21"
"108693","11","11","9","2","8","4.21"
"109882","14","14","12","2","8","4.21"
"112417","24","24","21","3","13","4.21"
"113188","13","13","13","0","9","4.21"
"113633","14","14","11","3","8","4.21"
"115715","17","17","16","1","10","4.21"
"117119","15","15","15","0","10","4.21"
"100094","12","12","11","1","6","4.20"
"100417","12","12","8","4","6","4.20"
"100707","12","12","11","1","8","4.20"
"100763","19","19","16","3","8","4.20"
"101024","10","10","8","2","6","4.20"
"101079","13","13","10","3","7","4.20"
"101669","13","13","12","1","7","4.20"
"101792","17","17","14","3","10","4.20"
"101883","13","13","11","2","7","4.20"
"102402","18","18","15","3","5","4.20"
"103050","11","11","10","1","7","4.20"
"103080","16","16","14","2","6","4.20"
"103779","9","9","9","0","6","4.20"
"104557","12","12","10","2","7","4.20"
"105063","7","7","7","0","5","4.20"
"105407","15","15","14","1","12","4.20"
"105796","10","10","10","0","5","4.20"
"106264","12","12","10","2","5","4.20"
"107131","8","8","7","1","7","4.20"
"107407","17","17","16","1","13","4.20"
"107602","15","15","12","3","8","4.20"
"107626","11","11","10","1","7","4.20"
"107705","9","9","8","1","8","4.20"
"109938","14","14","13","1","7","4.20"
"111492","10","10","9","1","6","4.20"
"111534","14","14","12","2","7","4.20"
"111845","12","12","12","0","6","4.20"
"111915","10","10","10","0","7","4.20"
"112881","12","12","11","1","7","4.20"
"113737","15","15","11","4","7","4.20"
"114340","7","7","7","0","5","4.20"
"114543","16","16","13","3","8","4.20"
"115343","10","10","10","0","7","4.20"
"115966","9","9","8","1","5","4.20"
"116822","15","15","12","3","5","4.20"
"116927","11","11","10","1","8","4.20"
"117044","8","8","8","0","5","4.20"
"117310","11","11","11","0","7","4.20"
"103924","21","21","16","5","9","4.19"
"106077","13","13","11","2","9","4.19"
"106522","14","14","11","3","9","4.19"
"106705","15","15","14","1","9","4.19"
"106768","13","13","11","2","7","4.19"
"108822","21","21","19","2","11","4.19"
"109469","14","14","14","0","8","4.19"
"111195","15","15","15","0","12","4.19"
"111300","18","18","15","3","9","4.19"
"111763","20","20","16","4","14","4.19"
"114532","12","12","11","1","7","4.19"
"100882","14","14","10","4","8","4.17"
"100892","13","13","13","0","9","4.17"
"101011","17","17","17","0","8","4.17"
"101458","15","15","15","0","9","4.17"
"101528","8","8","5","3","4","4.17"
"101751","8","8","8","0","7","4.17"
"101773","10","10","9","1","6","4.17"
"101873","12","12","12","0","8","4.17"
"102534","20","20","17","3","13","4.17"
"102757","17","17","15","2","9","4.17"
"103186","13","13","11","2","8","4.17"
"103342","9","9","9","0","6","4.17"
"103366","16","16","15","1","12","4.17"
"103848","11","11","10","1","4","4.17"
"103864","14","14","12","2","6","4.17"
"103911","11","10","11","0","4","4.17"
"103959","9","9","8","1","4","4.17"
"103997","10","10","8","2","6","4.17"
"104069","17","17","14","3","10","4.17"
"104076","12","12","8","4","4","4.17"
"104160","11","11","10","1","7","4.17"
"104472","7","7","7","0","4","4.17"
"104639","14","14","13","1","9","4.17"
"104736","16","16","12","4","8","4.17"
"105388","8","8","7","1","6","4.17"
"105508","13","13","13","0","10","4.17"
"105615","9","9","8","1","6","4.17"
"105714","19","19","17","2","12","4.17"
"105926","11","11","11","0","9","4.17"
"105938","17","17","16","1","8","4.17"
"105948","13","13","12","1","9","4.17"
"106213","16","16","11","5","8","4.17"
"106356","10","10","8","2","6","4.17"
"106813","14","14","14","0","11","4.17"
"106915","12","12","11","1","7","4.17"
"106966","14","14","13","1","10","4.17"
"107100","10","10","10","0","7","4.17"
"107349","19","19","16","3","12","4.17"
"107598","11","11","9","2","6","4.17"
"108313","14","14","11","3","8","4.17"
"108634","11","11","7","4","6","4.17"
"108756","8","8","7","1","7","4.17"
"109167","8","8","7","1","5","4.17"
"109215","11","11","10","1","4","4.17"
"109760","12","12","12","0","8","4.17"
"109940","12","12","9","3","6","4.17"
"109947","15","15","14","1","9","4.17"
"109961","12","12","9","3","7","4.17"
"111097","14","14","12","2","6","4.17"
"112137","11","11","11","0","6","4.17"
"112250","8","8","8","0","8","4.17"
"112297","11","11","11","0","8","4.17"
"112398","16","16","15","1","9","4.17"
"112604","11","11","8","3","6","4.17"
"113213","8","8","7","1","6","4.17"
"113484","16","16","15","1","12","4.17"
"113929","17","17","16","1","14","4.17"
"113976","23","23","22","1","15","4.17"
"114040","16","16","15","1","11","4.17"
"114046","18","18","12","6","9","4.17"
"114102","7","7","6","1","4","4.17"
"114344","12","12","11","1","6","4.17"
"114844","9","9","9","0","4","4.17"
"114907","7","7","4","3","4","4.17"
"115976","8","8","8","0","5","4.17"
"116383","11","11","11","0","8","4.17"
"116458","15","15","13","2","9","4.17"
"116819","17","17","16","1","10","4.17"
"116924","15","15","14","1","9","4.17"
"117174","10","10","9","1","7","4.17"
"117197","11","11","11","0","6","4.17"
"105704","16","16","16","0","12","4.15"
"106294","14","14","14","0","8","4.15"
"111820","15","15","13","2","11","4.15"
"116418","15","15","14","1","12","4.15"
"116877","15","15","13","2","10","4.15"
"117195","17","17","16","1","11","4.15"
"100303","13","13","12","1","9","4.14"
"100328","14","14","13","1","10","4.14"
"100999","12","12","12","0","10","4.14"
"101081","9","9","9","0","7","4.14"
"101833","15","15","11","4","10","4.14"
"102006","10","10","10","0","8","4.14"
"104516","14","14","13","1","10","4.14"
"105349","13","13","12","1","10","4.14"
"106388","14","14","13","1","8","4.14"
"106652","17","17","15","2","7","4.14"
"107161","8","8","8","0","7","4.14"
"108966","18","18","16","2","9","4.14"
"109598","19","19","17","2","9","4.14"
"109606","13","13","13","0","11","4.14"
"109795","18","18","16","2","12","4.14"
"110053","18","18","16","2","10","4.14"
"110139","13","13","11","2","8","4.14"
"111692","9","9","9","0","7","4.14"
"111783","11","11","10","1","8","4.14"
"113000","16","16","16","0","11","4.14"
"115166","10","10","10","0","8","4.14"
"116959","11","11","11","0","9","4.14"
"117416","15","15","14","1","11","4.14"
"100422","14","14","12","2","9","4.13"
"100680","12","12","9","3","5","4.13"
"101789","12","12","11","1","9","4.13"
"102056","9","9","9","0","7","4.13"
"102339","12","12","12","0","6","4.13"
"102458","15","15","13","2","8","4.13"
"102504","11","11","10","1","6","4.13"
"102576","10","10","7","3","6","4.13"
"102729","13","13","10","3","5","4.13"
"103541","19","19","15","4","6","4.13"
"103706","17","17","13","4","8","4.13"
"103965","14","14","13","1","6","4.13"
"104105","9","9","9","0","5","4.13"
"104121","10","10","8","2","6","4.13"
"104607","7","7","7","0","5","4.13"
"104623","13","13","12","1","6","4.13"
"105710","11","11","11","0","6","4.13"
"105838","12","12","11","1","7","4.13"
"106051","15","15","12","3","5","4.13"
"106719","8","8","8","0","5","4.13"
"106867","7","7","7","0","6","4.13"
"107424","18","18","12","6","7","4.13"
"107950","9","9","9","0","6","4.13"
"108429","13","13","10","3","5","4.13"
"108960","11","11","9","2","8","4.13"
"109219","13","13","11","2","8","4.13"
"109269","17","17","17","0","11","4.13"
"110773","12","12","10","2","5","4.13"
"110827","13","13","12","1","9","4.13"
"110942","11","11","10","1","5","4.13"
"111064","13","13","13","0","5","4.13"
"111347","12","12","10","2","7","4.13"
"111600","14","14","12","2","9","4.13"
"112003","13","13","10","3","7","4.13"
"112066","18","18","18","0","11","4.13"
"112606","11","11","11","0","5","4.13"
"113667","11","11","9","2","5","4.13"
"113826","14","14","14","0","10","4.13"
"114178","8","8","8","0","5","4.13"
"114284","12","12","11","1","8","4.13"
"114795","19","19","17","2","13","4.13"
"115701","10","10","7","3","5","4.13"
"115738","16","16","16","0","10","4.13"
"115949","18","17","16","2","12","4.13"
"115970","8","8","8","0","5","4.13"
"116002","10","10","10","0","7","4.13"
"116377","17","17","15","2","10","4.13"
"116429","20","20","17","3","11","4.13"
"116750","16","16","13","3","8","4.13"
"116871","13","13","7","6","6","4.13"
"117088","14","14","13","1","6","4.13"
"112745","16","16","13","3","10","4.12"
"114666","15","15","15","0","11","4.12"
"100916","19","19","19","0","14","4.11"
"103589","9","9","9","0","7","4.11"
"106309","16","16","14","2","10","4.11"
"106345","9","9","8","1","5","4.11"
"107551","7","7","6","1","5","4.11"
"107601","18","18","16","2","11","4.11"
"108706","21","21","16","5","10","4.11"
"109596","9","9","7","2","5","4.11"
"109745","10","10","8","2","5","4.11"
"111461","11","11","11","0","9","4.11"
"111837","15","15","11","4","7","4.11"
"114933","11","11","9","2","8","4.11"
"115521","15","15","13","2","8","4.11"
"116375","14","14","12","2","8","4.11"
